,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
438,Kieta,PG,85.91,-6.22,155.63,65,98,2.21
439,Adrar,DZ,73.4,27.87,-0.29,27,0,11.41
440,Marsabit,KE,79.07,2.34,37.99,70,100,17.11
441,Kuala Lipis,MY,91.85,4.19,102.05,52,34,0.27
442,Ancud,CL,51.8,-41.87,-73.83,100,90,4.7
443,Cabo San Lucas,MX,75.88,22.89,-109.91,29,5,10.29
444,Hohhot,CN,48.2,40.81,111.65,36,0,17.9
445,Kiama,AU,63.14,-34.67,150.86,67,75,14.99
446,Gamba,CN,38.93,28.28,88.52,30,0,7.83
447,Onega,RU,32.99,63.91,38.09,72,36,14.45
448,Kishtwar,IN,48.65,33.31,75.77,27,29,1.66
449,Bugalagrande,CO,73.4,4.21,-76.16,88,75,4.7
450,Coquimbo,CL,53.6,-29.95,-71.34,87,0,4.7
451,Buluang,PH,86,10.47,123.98,74,75,3.36
452,Mengcheng,CN,80.69,33.26,116.57,36,100,7
453,Saint-Pierre,FR,34.61,48.95,4.24,93,0,9.17
454,Pochutla,MX,81.95,15.74,-96.47,74,5,5.82
455,Caravelas,BR,77.09,-17.73,-39.27,77,64,5.19
456,Ushtobe,KZ,54.95,45.25,77.98,47,0,4.32
457,Bourail,NC,77.99,-21.57,165.5,61,100,12.17
458,Fukue,JP,74.41,35.03,136.69,68,75,3.36
459,Tobermory,CA,37,45.25,-81.67,84,0,4.23
460,Manta,RO,49.91,45.1,24.1,87,98,8.41
461,Rome,IT,53.42,41.89,12.48,93,40,4.7
462,Poum,MK,50,41.28,20.71,87,90,2.24
463,Belaya Gora,RU,35.51,68.54,146.19,94,100,5.68
464,Srednekolymsk,RU,34.25,67.46,153.71,76,82,8.5
465,Pilar,AR,65.59,-34.46,-58.91,82,90,9.17
466,Veraval,FR,40.14,49.65,0.71,86,75,6.93
467,Mogadishu,SO,80.69,2.04,45.34,82,46,7.07
468,Mulege,MX,75.83,26.88,-111.98,48,0,3.49
469,Ringebu,NO,28,61.53,10.14,68,100,3.58
470,Sault Sainte Marie,CA,54.18,46.49,-84.36,50,1,5.82
471,Dimbokro,CI,74.57,6.65,-4.7,95,100,2.39
472,Olinda,EC,79.9,-2.03,-79.75,88,75,5.82
473,Statesboro,US,72.99,32.45,-81.78,88,90,4.7
474,Santa Fe,AR,71.49,-31.62,-60.7,92,5,4
475,Pointe Michel,DM,79.43,15.25,-61.38,76,100,18.45
476,Mazyr,BY,47.75,52.05,29.27,93,1,5.97
477,Gornyy,RU,58.55,51.76,48.54,69,100,5.23
478,Valleyview,CA,34.79,55.07,-117.28,40,98,4.81
479,Seoul,KR,68.14,37.57,126.98,35,0,3.36
480,Bibiani,GH,73.67,6.45,-2.31,98,100,1.59
481,Tuy Hoa,VN,97.07,13.08,109.3,39,41,9.93
482,Campbell River,CA,62.6,50.02,-125.24,32,75,17.22
483,Winnemucca,US,75.2,40.97,-117.74,14,1,1.79
484,Beberibe,BR,82.4,-4.18,-38.13,74,0,10.29
485,Mittersill,AT,32.67,47.28,12.48,93,75,9.17
486,Parry Sound,CA,40.48,45.34,-80.04,93,0,4.27
487,Nipawin,CA,33.8,53.36,-104.02,84,90,10.29
488,Galveston,US,52.38,40.58,-86.19,71,1,3.96
489,Fort Nelson,CA,37.4,58.81,-122.69,44,90,4.76
490,Katobu,ID,88.97,-4.94,122.53,61,100,1.81
491,Bonthe,SL,81.95,7.53,-12.5,75,100,4.34
492,Dunmore East,IE,35.94,52.15,-6.99,80,0,2.62
493,Rocha,UY,65.75,-34.48,-54.34,97,100,7.09
494,Olga,US,65.34,34.11,-118.17,68,1,3.36
495,Kenora,CA,48.2,49.76,-94.48,31,40,5.82
496,Hovd,NO,35.78,63.83,10.7,100,75,18.34
497,Waipawa,NZ,66,-39.94,176.59,59,1,5.01
498,Hradek,CZ,34.43,49.71,13.65,91,0,9.17
499,Talaya,RU,55.42,55.79,84.89,47,0,8.95
500,Yatou,CM,83.75,3.63,9.81,79,100,9.98
501,Lincoln,US,63.79,40.8,-96.67,68,1,13.87
502,Skjervoy,NO,31.01,70.03,20.97,67,75,3.4
503,Comodoro Rivadavia,AR,48.2,-45.87,-67.48,70,0,12.75
504,Kanigiri,IN,96.35,15.41,79.51,16,93,7.81
505,Phalodi,IN,96.53,27.13,72.36,8,0,4.52
506,Jumla,NP,56.03,29.28,82.18,18,0,4.34
507,Dakar,SN,68,14.69,-17.45,88,0,13.87
508,Sidney,US,42.1,47.72,-104.16,70,90,6.93
509,Laguna,MX,84.2,27.52,-110.01,21,5,3.36
510,Soma,JP,72.77,37.8,140.92,52,0,9.17
511,Port Hardy,CA,53.6,50.7,-127.42,62,40,20.8
512,Evinayong,GQ,70.07,1.44,10.55,99,100,3.24
513,Faya,SA,67.14,18.39,42.45,39,5,4.7
514,Miles City,US,51.1,46.41,-105.84,50,1,11.41
515,Sisimiut,GL,41.63,66.94,-53.67,57,15,11.86
516,Vestmannaeyjar,IS,43.07,63.44,-20.27,68,0,9.22
517,Mezen,RU,32.63,65.85,44.24,87,64,12.33
518,Malindi,KE,76.01,-3.22,40.12,92,45,6.44
519,Sayat,TM,59,38.78,63.88,72,0,4.7
520,Orotukan,RU,34.43,62.26,151.67,99,98,1.43
521,Marica,BR,80.62,-22.92,-42.82,88,0,3.36
522,Micoud,LC,79.34,13.82,-60.9,74,40,23.04
523,Sayyan,YE,72.05,15.17,44.32,52,26,2.08
524,Ekhabi,RU,36.05,53.51,142.97,80,84,4.88
525,Sao Joao de Pirabas,BR,73.85,-0.77,-47.18,98,67,2.01
526,Miajadas,ES,61,39.15,-5.91,71,0,2.08
527,Rongcheng,CN,59.27,37.16,122.42,58,23,14.58
528,Nador,MA,58.44,35.17,-2.93,82,0,5.82
529,Musoma,TZ,74.39,-1.5,33.81,72,100,15.55
530,Milkovo,BG,52.97,41.53,24.68,87,93,3.36
531,Naze,NG,76.19,5.43,7.07,96,89,4.36
532,Muroto,JP,69.8,33.37,134.14,49,75,6.93
533,Vallenar,CL,60.71,-28.58,-70.76,78,0,1.1
534,Huarmey,PE,67.19,-10.07,-78.15,93,36,15.01
535,Rafai,CF,73.49,4.95,23.92,79,98,2.46
536,Marsa Matruh,EG,60.8,31.35,27.25,87,0,17.58
537,Calama,CL,51.8,-22.46,-68.93,21,0,5.82
538,Moose Factory,CA,42.8,51.26,-80.61,56,90,10.29
539,Miri,NG,83.39,10.31,9.75,52,84,5.95
540,Chicama,PE,69.8,-7.84,-79.15,83,75,10.29
541,Algiers,US,73.36,29.94,-90.04,78,90,5.82
542,Yanaul,RU,54.41,56.27,54.93,79,100,6.62
543,Gambela,ET,74.03,8.25,34.59,61,79,4.12
544,Santa Rosalia,IT,55.45,38.07,13.27,82,75,19.46
545,Cacoal,BR,75.65,-11.43,-61.44,90,100,2.33
546,Sola,NO,40.24,58.89,5.65,60,0,13.87
547,Athabasca,CA,34.79,54.72,-113.29,39,100,3.24
548,Kungurtug,RU,51.89,50.6,97.53,25,78,2.91
549,Sao Jose da Coroa Grande,BR,74.39,-8.9,-35.15,88,9,2.84
550,Okakarara,NA,56.21,-20.59,17.46,29,0,6.13
551,Beloha,MG,68.99,-25.17,45.06,88,0,3.42
552,Slobidka,UA,52,48.42,26.77,85,100,10.18
553,Korgoz,AZ,57.2,40.3,49.62,82,75,10.29
554,Wanaka,NZ,61,-44.7,169.14,67,100,2.48
555,Alice Springs,AU,62.6,-23.7,133.88,45,0,10.29
556,Albertville,FR,30.88,45.68,6.39,85,75,14.99
557,Banda Aceh,ID,84.11,5.56,95.32,79,99,16.26
558,Horodnytsya,UA,48.11,50.81,27.32,96,69,4.72
559,Jalu,LY,84.29,29.03,21.55,19,71,14.58
560,Acala,MX,87.8,16.55,-92.81,45,75,3.89
561,Hun,BE,34.93,50.34,4.87,83,0,5.82
562,Evanston,US,53.87,42.04,-87.69,50,1,2.73
563,Kimbe,PG,80.51,-5.56,150.15,87,87,4.5
564,Gonen,IL,55.71,33.12,35.65,92,81,4.09
565,Dwarka,IN,84.51,28.58,77.04,33,0,3.36
566,Portobelo,PA,84.2,9.55,-79.65,74,40,4.7
567,Berlevag,NO,32.45,70.86,29.09,81,100,16.2
568,Qingyuan,CN,78.35,27.62,119.06,34,100,2.26
569,Robe,ET,46.67,7.12,40.01,81,45,2.08
570,North Bay,CA,45.73,46.31,-79.46,61,20,5.82
571,Havoysund,NO,28.4,71,24.66,100,100,11.41
572,Galesong,ID,84.2,-5.32,119.37,74,20,2.24
573,Resavica,RS,49.91,44.04,21.58,90,100,5.39
574,Soe,EE,34.92,57.91,26.05,93,100,3.36
575,Ossora,RU,40.19,59.24,163.07,54,0,1.72
